date,case_type,count
"Friday, 27 August, 2021",Recovered,1381664
"Friday, 27 August, 2021",Deaths,15550
"Saturday, 28 August, 2021",Active,268552
"Saturday, 28 August, 2021",Recovered,1401156
"Saturday, 28 August, 2021",Deaths,15802
"Sunday, 29 August, 2021",Active,268001
"Sunday, 29 August, 2021",Recovered,1422001
"Sunday, 29 August, 2021",Deaths,16087
"Monday, 30 August, 2021",Active,265718
"Monday, 30 August, 2021",Recovered,1443258
"Monday, 30 August, 2021",Deaths,16381
"Tuesday, 31 August, 2021",Active,267868
"Tuesday, 31 August, 2021",Recovered,1461723
"Tuesday, 31 August, 2021",Deaths,16663
"Wednesday, 1 September, 2021",Active,265279
"Wednesday, 1 September, 2021",Recovered,1482796
"Wednesday, 1 September, 2021",Deaths,16941
"Thursday, 2 September, 2021",Active,262545
"Thursday, 2 September, 2021",Recovered,1506269
"Thursday, 2 September, 2021",Deaths,17190
"Friday, 3 September, 2021",Active,259194
"Friday, 3 September, 2021",Recovered,1528668
"Friday, 3 September, 2021",Deaths,17520
"Saturday, 4 September, 2021",Active,256307
"Saturday, 4 September, 2021",Recovered,1550250
"Saturday, 4 September, 2021",Deaths,17882
"Sunday, 5 September, 2021",Active,255794
"Sunday, 5 September, 2021",Recovered,1570823
"Sunday, 5 September, 2021",Deaths,18218
"Monday, 6 September, 2021",Active,252673
"Monday, 6 September, 2021",Recovered,1591024
"Monday, 6 September, 2021",Deaths,18490
"Tuesday, 7 September, 2021",Active,252007
"Tuesday, 7 September, 2021",Recovered,1609926
"Tuesday, 7 September, 2021",Deaths,18801
"Wednesday, 8 September, 2021",Active,248678
"Wednesday, 8 September, 2021",Recovered,1632627
"Wednesday, 8 September, 2021",Deaths,19162
"Thursday, 9 September, 2021",Active,242808
"Thursday, 9 September, 2021",Recovered,1657482
"Thursday, 9 September, 2021",Deaths,19484
"Friday, 10 September, 2021",Active,242167
"Friday, 10 September, 2021",Recovered,1678958
"Friday, 10 September, 2021",Deaths,19825
"Saturday, 11 September, 2021",Active,239354
"Saturday, 11 September, 2021",Recovered,1700729
"Saturday, 11 September, 2021",Deaths,20417
"Sunday, 12 September, 2021",Active,237280
"Sunday, 12 September, 2021",Recovered,1721709
"Sunday, 12 September, 2021",Deaths,20709
"Monday, 13 September, 2021",Active,228127
